epoch,loss,epoch_time_s,cumulative_time_s,batch_size
1,0.10689418440849965,0.9819384999864269,0.9819384999864269,4096
2,0.05029529143058875,0.9444576000096276,1.9263960999960545,4096
3,0.045084367207794025,0.8214182999945479,2.7478143999906024,4096
4,0.04202016755549311,0.8986196000041673,3.6464339999947697,4096
5,0.03907462179004366,0.9337970000051428,4.5802309999999125,4096
6,0.036349875067905706,0.8036598000035156,5.383890800003428,4096
7,0.03393398337949005,0.8168666999990819,6.20075750000251,4096
8,0.03181495068086058,0.8807816999906208,7.081539199993131,4096
9,0.029867565687542823,0.8110503000061726,7.892589499999303,4096
10,0.02807473921895419,0.823032800006331,8.715622300005634,4096
11,0.02643322692379052,0.8431290000007721,9.558751300006406,4096
12,0.02492235849000299,0.8305312000011327,10.389282500007539,4096
13,0.023557274672754536,0.8215332999970997,11.210815800004639,4096
14,0.02230453935247154,0.8006133000017144,12.011429100006353,4096
15,0.021174896659030638,0.8242897000018274,12.83571880000818,4096
16,0.020134992626431918,0.8406436999939615,13.676362500002142,4096
17,0.019183991937318942,0.8397638999886112,14.516126399990753,4096
18,0.018309802643493793,0.8719772000040393,15.388103599994793,4096
19,0.017501989615483864,0.8461103000008734,16.234213899995666,4096
20,0.01675477686661348,0.8643192000017734,17.09853309999744,4096
21,0.01606030975020221,0.8230430999974487,17.921576199994888,4096
22,0.015413896539030771,0.82797450000362,18.749550699998508,4096
23,0.014812180130276749,0.8366739999910351,19.586224699989543,4096
24,0.01424835556237912,0.8558612999913748,20.442085999980918,4096
25,0.013721963766501971,0.8741095000004862,21.316195499981404,4096
26,0.013228861173323912,0.8462392999936128,22.162434799975017,4096
27,0.012765947997635337,0.8617121999996016,23.02414699997462,4096
28,0.012332198295819816,0.8357332000014139,23.859880199976033,4096
29,0.011925014287606247,0.8498634999996284,24.70974369997566,4096
30,0.011541334697272698,0.8591649000009056,25.568908599976567,4096
